portfolio_id,severity,display_type,rule,target_kind,target_id,renderer,evidence
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-GRID,MINOR,coordinate_graph,grid,figure_renderer,gf-identify-motion,GfIdentifyMotion,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,gf-identify-motion,GfIdentifyMotion,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,gf-sign-fingerprints,GfSignFingerprints,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-GRID,MINOR,coordinate_graph,grid,figure_renderer,gf-sign-fingerprints,GfSignFingerprints,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-GF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,gf-sign-fingerprints,GfSignFingerprints,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FN-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,fn-vertical-line-test,FnVerticalLineTest,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FN-GRID,MINOR,coordinate_graph,grid,figure_renderer,fn-vertical-line-test,FnVerticalLineTest,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-FN-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,fn-vertical-line-test,FnVerticalLineTest,origin/zero not statically visible
GF-F-NUMBER-LINE-FIGURE-FAMILY-RAD-TICKS,MAJOR,number_line,ticks,figure_renderer,rad-between,RadBetween,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-RAD-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,rad-distance-subtract,RadDistanceSubtract,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-RAD-GRID,MINOR,coordinate_graph,grid,figure_renderer,rad-distance-subtract,RadDistanceSubtract,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-SE-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,se-graph-cross,SeGraphCross,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-SE-GRID,MINOR,coordinate_graph,grid,figure_renderer,se-graph-cross,SeGraphCross,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-SE-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,se-graph-cross,SeGraphCross,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-SE-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,se-check-crossing,SeCheckCrossing,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-SE-GRID,MINOR,coordinate_graph,grid,figure_renderer,se-check-crossing,SeCheckCrossing,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-SE-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,se-check-crossing,SeCheckCrossing,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LF-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,lf-x-intercept,LfXIntercept,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LF-GRID,MINOR,coordinate_graph,grid,figure_renderer,lf-x-intercept,LfXIntercept,display convention requires grid; none statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-LF-ORIGIN,MAJOR,coordinate_graph,origin,figure_renderer,lf-x-intercept,LfXIntercept,origin/zero not statically visible
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-QU-TICKS,MAJOR,coordinate_graph,ticks,figure_renderer,qu-axis-symmetry,QuAxisSymmetry,no statically visible tick construction
GF-F-COORDINATE-GRAPH-FIGURE-FAMILY-QU-GRID,MINOR,coordinate_graph,grid,figure_renderer,qu-axis-symmetry,QuAxisSymmetry,display convention requires grid; none statically visible
